postcodes,latitude,longitude
B62 8PY,52.4167,-2.0312666666666668
B62 9BB,52.4167,-2.0312666666666668
B62 9RH,52.4167,-2.0312666666666668
B62 9SS,52.4167,-2.0312666666666668
B63 1EF,52.4486,-2.067133333333333
B63 2BU,52.4486,-2.067133333333333
B63 3AU,52.4486,-2.067133333333333
B63 3JS,52.4486,-2.067133333333333
B63 3UD,52.4486,-2.067133333333333
B63 3UJ,52.4486,-2.067133333333333
B63 4AB,52.4486,-2.067133333333333
B63 4AZ,52.4486,-2.067133333333333
B63 4RH,52.4486,-2.067133333333333
B64 5AB,52.4833,-2.0667
B64 5DF,52.4833,-2.0667
B64 5PX,52.4833,-2.0667
B65 0HG,52.4829,-2.04375
B65 0LG,52.4829,-2.04375
B65 0PS,52.4829,-2.04375
B65 8JZ,52.4829,-2.04375
B65 9AS,52.4829,-2.04375
B66 3EN,52.497,-1.973
B66 4BE,52.497,-1.973
B66 4BH,52.497,-1.973
B66 4BW,52.497,-1.973
B67 5RD,52.4857,-1.9787
B67 7RA,52.4857,-1.9787
B68 0RT,52.4785,-2.0014
B68 9HF,52.4785,-2.0014
B68 9LU,52.4785,-2.0014
B68 9LW,52.4785,-2.0014
B68 9NE,52.4785,-2.0014
B68 9TX,52.4785,-2.0014
B69 1DF,52.5,-2.0167
B69 1SB,52.5,-2.0167
B69 1TL,52.5,-2.0167
B69 3DB,52.5,-2.0167
B69 3DD,52.5,-2.0167
B69 4DS,52.5,-2.0167
B69 4PU,52.5,-2.0167
B69 4SN,52.5,-2.0167
B7 4EN,52.4941,-1.8726
B7 5DT,52.4941,-1.8726
B7 5SA,52.4941,-1.8726
B70 0RZ,52.5187,-1.9945
B70 7NJ,52.5187,-1.9945
B70 7NN,52.5187,-1.9945
B70 7PR,52.5187,-1.9945
B70 9QG,52.5187,-1.9945
B70 9QL,52.5187,-1.9945
B71 1AN,52.5359,-1.9905
B71 3AH,52.5359,-1.9905
B71 3HS,52.5359,-1.9905
B71 4JZ,52.5359,-1.9905
B72 1AX,52.5333,-1.8167
B72 1PA,52.5333,-1.8167
B72 1PH,52.5333,-1.8167
B72 1QL,52.5333,-1.8167
B72 1UP,52.5333,-1.8167
B72 1YH,52.5333,-1.8167
B73 5AB,52.5667,-1.8167
B73 5BA,52.5667,-1.8167
B73 5TD,52.5667,-1.8167
B73 5UB,52.5667,-1.8167
B73 6RB,52.5667,-1.8167
B74 2HE,52.5833,-1.85535
B74 3EH,52.5833,-1.85535
B74 3NA,52.5833,-1.85535
B74 4AB,52.5833,-1.85535
B74 4BH,52.5833,-1.85535
B74 4QY,52.5833,-1.85535
B75 5BT,52.5879,-1.8128
B75 5JX,52.5879,-1.8128
B75 6HD,52.5879,-1.8128
B75 7BQ,52.5879,-1.8128
B76 1DT,52.5338,-1.7527166666666665
B76 1NQ,52.5338,-1.7527166666666665
B76 1NY,52.5338,-1.7527166666666665
B76 1XL,52.5338,-1.7527166666666665
B76 9AG,52.5338,-1.7527166666666665
B77 1LE,52.6158,-1.666383333333333
B77 1LG,52.6158,-1.666383333333333
B77 2AU,52.6158,-1.666383333333333
B77 2AZ,52.6158,-1.666383333333333
B77 2ED,52.6158,-1.666383333333333
B77 2LA,52.6158,-1.666383333333333
