postcodes,latitude,longitude
B5 4TP,52.473691,-1.8973588
B5 5JE,52.4814248,-1.8900375
B5 6DH,52.4753638,-1.8881533
B5 7TU,52.4638791,-1.9034604
B50 4AF,52.164501,-1.858708
B50 4EH,52.1644989,-1.8613596
B6 6QR,52.5124008,-1.8865124
B60 1DL,52.3657495,-2.0389181
B60 3DX,52.3145038,-2.0636343
B60 3EQ,52.3228266,-2.0492091
B60 3JZ,52.3197597,-2.0695542
B61 0AR,52.3467267,-2.0597465
B61 0DD,52.3389702,-2.0554356
B61 0DF,52.3404096,-2.0534559
B61 0HA,52.3502654,-2.0474781
B61 0JR,52.3632615,-2.0557158
B61 0LA,52.3638993,-2.0568474
B61 8AG,52.3362261,-2.0598938
B61 8AJ,52.3343461,-2.0619311
B61 8DA,52.3369815,-2.0593518
B61 8ES,52.3359568,-2.0590862
B61 8LW,52.3397193,-2.0672079
B62 0NU,52.417848,-2.0585197
B62 8AA,52.4609237,-2.0487015
B62 8PY,52.4544766,-2.0234424
B62 9BB,52.461749,-2.0258601
B62 9RH,52.4703361,-2.0165615
B62 9SS,52.4559243,-2.0217361
B63 1EF,52.4352085,-2.0865638
B63 2BU,52.4598949,-2.0868184
B63 3AU,52.448112,-2.0509384
B63 3JS,52.4522851,-2.0467496
B63 3UD,52.4531504,-2.0613038
B63 3UJ,52.4534198,-2.0620399
B63 4AB,52.4494511,-2.0517493
B63 4AZ,52.4487948,-2.0519692
B63 4RH,52.4472569,-2.0533063
B64 5AB,52.4706747,-2.0857798
B64 5DF,52.4731411,-2.0812503
B64 5PX,52.4811551,-2.0595317
B65 0HG,52.4750143,-2.039707
B65 0LG,52.4765526,-2.0365724
B65 0PS,52.4870191,-2.0287614
B65 8JZ,52.4906942,-2.058013
B65 9AS,52.482205,-2.04338
B66 3EN,52.4887059,-1.9596928
B66 4BE,52.4763386,-1.9694948
B66 4BH,52.4749001,-1.9690835
B66 4BW,52.473165,-1.9689081
B67 5RD,52.4773559,-1.9755748
B67 7RA,52.4960363,-1.9723535
B68 0RT,52.4681255,-2.0067571
B68 9HF,52.4744095,-1.9932136
B68 9LU,52.4900342,-1.9997945
B68 9LW,52.476756,-1.9971738
B68 9NE,52.4877326,-1.9927257
B68 9TX,52.4816556,-1.9994116
B69 1DF,52.4927264,-2.0335961
B69 1SB,52.5040708,-2.0589146
B69 1TL,52.5102483,-2.0558582
B69 3DB,52.504228,-2.0177973
B69 3DD,52.5043172,-2.0219812
B69 4DS,52.503725,-2.0148212
B69 4PU,52.4928018,-2.0174685
B69 4SN,52.4911123,-2.012755
B7 4EN,52.4861798,-1.8801002
B7 5DT,52.4937458,-1.8766184
B7 5SA,52.5054819,-1.8564903
B70 0RZ,52.5391096,-2.011339
B70 7NJ,52.5181724,-1.9913208
B70 7NN,52.5175702,-1.9931925
B70 7PR,52.5206625,-1.9905687
B70 9QG,52.522353,-2.000104
B70 9QL,52.5227665,-2.0007967
